AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
1OqoJs8grTFQB,智谱GLM-4-Plus,149,否,1OqoJs8grTPfC,招聘管理,cMjRU6IPKmOAUpxB,青岛恒星科技学院,cMjRU6IPKr6Y9PRB,29,2:17:14,17,0.3,11,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grU1o7,智谱GLM-4-Plus,72,否,1OqoJs8grTPfC,人力资源规划,cMjRU6IPKmOAUpya,青岛恒星科技学院,cMjRU6IPKn5G5caZ,39,3:51:21,10,0.3,10,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grU1o7,智谱GLM-4-Plus,72,否,1OqoJs8grTPfC,人力资源规划,cMjRU6IPKmOAUpyc,青岛恒星科技学院,cMjRU6IPKn5G5caZ,29,2:58:07,10,0.3,10,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
37CzHPTzdDCx,DeepSeek-R1,436,是,1OqoJs8grTPBG,信号与系统A,cMjRU6IPKmORpEU9,通信与信息工程学院,cMjRU6IPKr6PL4ul,116,2:19:17,0,0.1,14,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdDCx,DeepSeek-R1,436,是,1OqoJs8grTPBG,信号与系统A,cMjRU6IPKmORpEUc,通信与信息工程学院,cMjRU6IPKr6PL4ul,139,1:48:47,0,0.1,14,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdDCx,DeepSeek-R1,436,是,1OqoJs8grTPBG,信号与系统B,cMjRU6IPKmORpEUf,通信与信息工程学院,cMjRU6IPKr6PL4uo,113,1:29:04,0,0.1,4,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdDCx,DeepSeek-R1,436,是,1OqoJs8grTPBG,信号与系统B,cMjRU6IPKmORpEUI,通信与信息工程学院,cMjRU6IPKr6PL4uo,125,1:35:23,0,0.1,4,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdAVW,DeepSeek-R1,337,是,1OqoJs8grTPUd,消化与营养,cMjRU6IPKmOUPuQt,医学院,cMjRU6IPKocAOnZg,129,1:43:51,0,0.1,2,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVW,DeepSeek-R1,337,是,1OqoJs8grTPUd,消化与营养(全英),cMjRU6IPKmOUPuQw,医学院,cMjRU6IPKocAOW3K,34,1:41:41,0,0.1,4,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVW,DeepSeek-R1,337,是,1OqoJs8grTPUd,神经学,cMjRU6IPKmOUPuQB,医学院,cMjRU6IPKocwWmfq,176,3:32:37,0,0.1,4,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVU,DeepSeek-R1,372,是,1OqoJs8grTPUd,临床基本技能Ⅳ,cMjRU6IPKmOUPuRG,医学院,cMjRU6IPKpTcrse5,68,0:00:00,10,0.0,0,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVU,DeepSeek-R1,372,是,1OqoJs8grTPUd,临床基本技能Ⅳ,cMjRU6IPKmOUPuRI,医学院,cMjRU6IPKpTcrse5,76,0:00:00,10,0.0,0,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVU,DeepSeek-R1,372,是,1OqoJs8grTPUd,临床基本技能Ⅳ,cMjRU6IPKmOUPuRJ,医学院,cMjRU6IPKocAOyNm,59,0:59:28,9,0.1,0,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVU,DeepSeek-R1,372,是,1OqoJs8grTPUd,临床基本技能Ⅳ,cMjRU6IPKmOUPuRL,医学院,cMjRU6IPKocAOyNm,60,1:00:07,9,0.0,0,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVU,DeepSeek-R1,372,是,1OqoJs8grTPUd,临床基本技能Ⅳ（全英）,cMjRU6IPKmOUPuSc,医学院,cMjRU6IPKpTcrse5,34,0:00:00,10,0.0,0,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
5nsxWh2HqTG,DeepSeek-R1,1091,是,1OqoJs8grTPUd,物理化学,cMjRU6IPKmOUPuSU,医学院,cMjRU6IPKocAOWIj,59,2:32:55,5,0.0,5,0.2,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVV,DeepSeek-R1,682,是,1OqoJs8grTPUd,医学微生物学与免疫学,cMjRU6IPKmOUPv8v,医学院,cMjRU6IPKocAOKU6,100,2:17:20,0,0.8,1,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVV,DeepSeek-R1,682,是,1OqoJs8grTPUd,医学微生物学与免疫学,cMjRU6IPKmOUPv8w,医学院,cMjRU6IPKocAOLTa,37,3:25:39,0,0.8,1,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
37CzHPTzdAVV,DeepSeek-R1,682,是,1OqoJs8grTPUd,医学微生物学与免疫学（全英）,cMjRU6IPKmOUPv8x,医学院,cMjRU6IPKocAOKU6,12,3:22:25,0,0.8,3,0.0,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvc2,电子工程学院,cMjRU6IPKpSJTWIa,219,2:12:13,8,0.2,4,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvc3,电子工程学院,cMjRU6IPKpSJTWFT,237,2:14:33,8,0.25,4,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvc4,电子工程学院,cMjRU6IPKpSJTWFT,161,3:06:20,5,0.25,3,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvc5,电子工程学院,cMjRU6IPKpQPGxoy,189,2:17:37,5,0.25,5,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcw,电子工程学院,cMjRU6IPKpQPGxoy,177,2:14:46,5,0.25,4,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcx,电子工程学院,cMjRU6IPKpQPGxoy,200,2:23:18,5,0.25,6,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcy,电子工程学院,cMjRU6IPKpSJTWFf,222,2:16:17,8,0.25,4,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcz,电子工程学院,cMjRU6IPKpSJTWFf,271,3:00:44,8,0.25,4,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcA,电子工程学院,cMjRU6IPKpSJTWFe,160,2:09:06,5,0.25,5,0.25,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcD,电子工程学院,cMjRU6IPKpSJTWEK,204,2:16:01,8,0.25,5,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcE,电子工程学院,cMjRU6IPKpSJTWEK,97,2:23:57,5,0.25,3,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvcF,电子工程学院,cMjRU6IPKpSJTWEF,194,2:15:18,8,0.25,5,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvd6,电子工程学院,cMjRU6IPKpSJTWEF,168,2:26:47,8,0.25,5,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvd7,电子工程学院,cMjRU6IPKpSJTWEF,192,2:50:25,8,0.25,5,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvd8,电子工程学院,cMjRU6IPKpSJTWE6,29,3:15:33,5,0.25,3,0.25,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvd9,电子工程学院,cMjRU6IPKpSJTWE6,29,3:07:04,5,0.25,3,0.25,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvda,电子工程学院,cMjRU6IPKpSJTWE6,202,2:02:20,5,0.25,3,0.25,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvdc,电子工程学院,cMjRU6IPKpSJTWFn,159,2:06:26,5,0.25,3,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmOUPvdd,电子工程学院,cMjRU6IPKpSJTWHy,164,4:03:26,5,0.25,2,0.2,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
1OqoJs8grU1K5,智谱GLM-4-Plus,91,否,1OqoJs8grTPfC,人员培训与开发,cMjRU6IPKmOZ0GoK,青岛恒星科技学院,cMjRU6IPKr6Y9PRB,30,2:09:47,1,0.5,14,0.2,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grUC68,智谱GLM-4-Plus,0,否,1OqoJs8grTPfC,技术经济,cMjRU6IPKmOZ0H0Y,青岛恒星科技学院,cMjRU6IPKr6Yb1qz,60,0:00:00,4,0.1,0,0.5,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQgU,智谱GLM-4-Plus,44,否,1OqoJs8grTPfC,英语综合素养I,cMjRU6IPKmOZ0Hll,青岛恒星科技学院,cMjRU6IPKr6YaMvv,30,0:00:00,0,0.0,1,0.6,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTFOM,智谱GLM-4-Plus,81,否,1OqoJs8grTPfC,国学导读,cMjRU6IPKmOZ0Hn6,青岛恒星科技学院,cMjRU6IPKnaaB7v0,62,0:00:00,7,0.2,3,0.2,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grUeyZ,智谱GLM-4-Plus,115,否,1OqoJs8grTPfC,员工关系管理,cMjRU6IPKmOZ0Hpu,青岛恒星科技学院,cMjRU6IPKr6Y9PTO,26,12:00:36,15,0.1,1,0.5,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,VLS,cMjRU6IPKmP3lQQR,医学院,cMjRU6IPKqXN0YFC,43,3:51:54,0,0.1,4,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,VLS,cMjRU6IPKmP3m1IV,医学院,cMjRU6IPKqXN0YFC,45,1:37:47,0,0.1,4,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,VLS,cMjRU6IPKmP3rjLb,医学院,cMjRU6IPKqXN0YFC,37,3:47:03,0,0.25,4,0.5,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,C8（Writing and translating）,cMjRU6IPKmP3rjLM,医学院,cMjRU6IPKqXN0YFC,41,1:39:38,0,0.0,16,0.85,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,C5(WritingandTranslating),cMjRU6IPKmP3rjLP,医学院,cMjRU6IPKqXN0YFC,29,2:28:13,0,0.0,16,0.85,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,大学英语写作2024级-2,cMjRU6IPKmP6R8jy,医学院,cMjRU6IPKpObcO7I,44,9:06:29,0,0.1,11,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,大学英语写作2024级-2,cMjRU6IPKmP6R8jA,医学院,cMjRU6IPKpObcO7I,45,6:29:09,0,0.1,12,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grTrBv,DeepSeek-R1,4868,否,1OqoJs8grTPUd,大学英语写作2024级-2,cMjRU6IPKmP6R8jB,医学院,cMjRU6IPKpObcO7I,38,1:00:30,0,0.1,11,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
1OqoJs8grV0L4,智谱GLM-4-Plus,0,否,1OqoJs8grTPfC,Java面向对象程序设计,cMjRU6IPKmP6Zc2k,青岛恒星科技学院,cMjRU6IPKr6Y2X4s,142,0:00:00,0,0.0,1,0.6,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTRe7,DeepSeek-R1,1900,否,1OqoJs8grTRhy,大学物理,cMjRU6IPKmPbaYWH,电子工程学院,cMjRU6IPKpSJTWGs,332,1:45:37,8,0.7,3,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
13hkmokNycbRiV,智谱GLM-4-Plus,0,否,1OqoJs8grTPfC,Career planning,cMjRU6IPKmQXMJZr,,cMjRU6IPKogS7p27,15,0:00:00,0,0.1,10,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxtrzH,智谱GLM-4-Plus,132,否,7n0RIxtpvm,高分子材料成型加工原理,PWNTVYeKnHtSM,石油化工学院,PWNTVYeKnnl6p,146,3:10:58,8,0.1,0,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
4hmvbRqRwyh,智谱GLM-4-Plus,83,否,7n0RIxtpvm,电工与电子技术基础,PWNTVYeKnHvB3,化工过程自动化学院,PWNTVYeKnmWMx,134,1:44:56,0,0.3,12,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMe9,基础医学院,PWNTVYgjQGZve,56,0:00:00,0,0.1,7,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMec,基础医学院,PWNTVYgjNxgM9,59,1:29:44,0,0.1,2,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMeN,基础医学院,PWNTVYgjNxg88,57,2:28:10,0,0.2,2,0.5,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMfk,基础医学院,PWNTVYgjNxgaY,32,0:00:00,0,0.1,10,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMfo,基础医学院,PWNTVYgjNxg8b,58,1:15:34,0,0.1,1,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMfW,基础医学院,PWNTVYgjNxg7x,57,1:13:09,0,0.1,2,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMfX,基础医学院,PWNTVYgjNxg7x,59,0:00:00,0,0.1,13,0.3,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
cH4W4ndtC,DeepSeek-R1,134,是,7n0RIxtqe4,病理学,PWNTVYeMdOMfZ,基础医学院,PWNTVYgjNxg88,53,2:48:54,0,0.2,3,0.5,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
